duration_s,dynamic_power_w,energy_dynamic_j,energy_dynamic_mj_per_inference,inference_count,mean_gpu_util_pct,mean_power_w,mean_temperature_c,model,peak_memory_mib,precision,repeat,sample_count,sampling_interval_target_ms
60.02184639299958,289.9277081395349,17462.54825832395,460.01286210384205,37961,99.46843853820597,318.5275581395349,59.06810631229236,官方 ANN EV-Slim,1255.0,fp16_amp,1,602,100
60.02147620499818,304.7168609634552,18336.570138770796,484.38964836272083,37855,98.421926910299,333.3167109634552,63.84551495016611,官方 ANN EV-Slim,1258.0,fp16_amp,2,602,100
60.02225656800147,307.3128908637874,18488.915359198618,489.50028750095623,37771,100.0,335.9127408637874,64.80066445182725,官方 ANN EV-Slim,1285.0,fp16_amp,3,602,100
60.001920066999446,249.22534933554817,14993.946866992032,593.5610968287888,25261,90.32890365448505,277.8251993355482,61.48172757475083,Hybrid SNN EV-Slim,1230.0,fp16_amp,1,602,100
60.0007728290002,240.39684435215946,14464.166646786662,566.8887574676332,25515,89.71760797342192,268.99669435215947,59.975083056478404,Hybrid SNN EV-Slim,1227.0,fp16_amp,2,602,100
60.00089556400053,238.34407026578072,14339.83395066459,561.553647817379,25536,90.29235880398672,266.9439202657807,59.958471760797345,Hybrid SNN EV-Slim,1225.0,fp16_amp,3,602,100
60.000749074999476,115.83779119601328,6964.945532279075,2730.280490897325,2551,65.56810631229236,144.4376411960133,53.19767441860465,MAVLab LIF-EV-FlowNet-TTC,1289.0,fp16_amp,1,602,100
60.02112798599774,109.66086428571427,6598.284698852297,2594.685292509751,2543,66.14950166112956,138.26071428571427,52.056478405315616,MAVLab LIF-EV-FlowNet-TTC,1297.0,fp16_amp,2,602,100
60.003576336999686,109.79385431893687,6606.897494847082,2600.117077861898,2541,66.26744186046511,138.39370431893687,53.67109634551495,MAVLab LIF-EV-FlowNet-TTC,1283.0,fp16_amp,3,602,100
