checkpoint_mib,custom_or_stateful_operators,full_inference_gflops,full_inference_gmacs,full_inference_macs,input_shape,model,operator_types,output_shape,parameter_count,time_steps,trainable_parameter_count,weights_fp16_mib,weights_fp32_mib,weights_int8_mib
0.5586032867431641,无,10.6437888,5.3218944,5321894400,"(1, 6, 360, 360)",官方 ANN EV-Slim,"{""EVSlim"": 1, ""Sequential"": 7, ""ConvLayer"": 6, ""Conv2d"": 22, ""ReLU"": 15, ""BatchNorm2d"": 15, ""ASPP"": 2, ""ModuleList"": 4, ""ASPPConv"": 6, ""Dropout"": 2}","(1, 1, 360, 360)",41673,1,41673,0.07948493957519531,0.15896987915039062,0.039742469787597656
0.5604486465454102,_ActivationOnlyConvLIF,13.4804736,6.7402368,6740236800,"(1, 3, 6, 360, 360)",Hybrid SNN EV-Slim,"{""HybridSNNEVSlim"": 1, ""Conv2d"": 22, ""BatchNorm2d"": 15, ""_ActivationOnlyConvLIF"": 2, ""Identity"": 2, ""Sequential"": 6, ""ASPP"": 2, ""ModuleList"": 4, ""ReLU"": 12, ""ASPPConv"": 6, ""Dropout"": 2, ""ConvLayer"": 3}","(1, 1, 360, 360)",41737,3,41737,0.07960700988769531,0.15921401977539062,0.039803504943847656
233.56326007843018,ConvLIF; ConvLIFRecurrent; LIFEVFlowNetTTC; SpikingMultiResUNetRecurrent; SpikingRecurrentConvLayer; SpikingResidualBlock; SpikingUpsampleConvLayer,89.36620032,44.68310016,44683100160,"(1, 10, 2, 128, 128)",MAVLab LIF-EV-FlowNet-TTC,"{""LIFEVFlowNetTTC"": 1, ""SpikingMultiResUNetRecurrent"": 1, ""ModuleList"": 4, ""SpikingRecurrentConvLayer"": 4, ""ConvLIF"": 12, ""Conv2d"": 24, ""ConvLIFRecurrent"": 4, ""SpikingResidualBlock"": 2, ""SpikingUpsampleConvLayer"": 4, ""ConvLayer"": 4}","(1, 1, 128, 128)",20398340,10,20398340,38.90674591064453,77.81349182128906,19.453372955322266
